year,geo,gender,value
2012,Latvia,Females,0.34
2012,Lithuania,Males,0.757
2012,Lithuania,Females,0.24299999999999997
2012,Luxembourg,Males,0.9009999999999999
2012,Luxembourg,Females,0.09900000000000006
2012,Hungary,Males,0.852
2012,Hungary,Females,0.14800000000000002
2012,Malta,Males,0.863
2012,Malta,Females,0.13699999999999998
2012,Netherlands,Males,0.879
2012,Netherlands,Females,0.121
2012,Austria,Males,0.8390000000000001
2012,Austria,Females,0.161
2012,Poland,Males,0.8370000000000001
2012,Poland,Females,0.163
2012,Portugal,Males,0.757
2012,Portugal,Females,0.243
2012,Romania,Males,0.6920000000000001
2012,Romania,Females,0.308
2012,Slovenia,Males,0.976
2012,Slovenia,Females,0.024000000000000056
2012,Slovakia,Males,0.767
2012,Slovakia,Females,0.233
2012,Finland,Males,0.741
2012,Finland,Females,0.259
2012,Sweden,Males,0.733
2012,Sweden,Females,0.267
2012,United Kingdom,Males,0.777
2012,United Kingdom,Females,0.223
2012,Iceland,Males,0.773
2012,Iceland,Females,0.22700000000000004
2012,Switzerland,Males,0.8759999999999999
2012,Switzerland,Females,0.124
2012,Montenegro,Males,0.772
2012,Montenegro,Females,0.22799999999999998
2012,North Macedonia,Males,0.7190000000000001
2012,North Macedonia,Females,0.281
2012,Serbia,Males,0.765
2012,Serbia,Females,0.235
2012,Turkey,Males,0.743
2012,Turkey,Females,0.257
2013,All Europe,Males,0.8220000000000001
2013,All Europe,Females,0.17800000000000002
2013,Belgium,Males,0.893
2013,Belgium,Females,0.107
2013,Bulgaria,Males,0.7859999999999999
2013,Bulgaria,Females,0.21400000000000005
2013,Czechia,Males,0.8690000000000001
2013,Czechia,Females,0.131
2013,Denmark,Males,0.831
2013,Denmark,Females,0.16899999999999998
2013,Germany,Males,0.861
2013,Germany,Females,0.139
2013,Estonia,Males,0.785
2013,Estonia,Females,0.215
2013,Ireland,Males,0.696
2013,Ireland,Females,0.304
2013,Greece,Males,0.669
2013,Greece,Females,0.331
2013,Spain,Males,0.826
2013,Spain,Females,0.174
2013,France,Males,0.86
2013,France,Females,0.14
2013,Croatia,Males,0.753
2013,Croatia,Females,0.247
2013,Italy,Males,0.7879999999999999
2013,Italy,Females,0.212
2013,Cyprus,Males,0.657
2013,Cyprus,Females,0.34299999999999997
2013,Latvia,Males,0.635
2013,Latvia,Females,0.365
2013,Lithuania,Males,0.821
2013,Lithuania,Females,0.179
2013,Luxembourg,Males,0.907
2013,Luxembourg,Females,0.09299999999999997
2013,Hungary,Males,0.8390000000000001
2013,Hungary,Females,0.161
2013,Malta,Males,0.863
2013,Malta,Females,0.13699999999999998
2013,Netherlands,Males,0.8240000000000001
2013,Netherlands,Females,0.17600000000000002
2013,Austria,Males,0.884
2013,Austria,Females,0.11599999999999994
2013,Poland,Males,0.871
2013,Poland,Females,0.129
2013,Portugal,Males,0.81
2013,Portugal,Females,0.19
2013,Romania,Males,0.691
2013,Romania,Females,0.309
2013,Slovenia,Males,0.927
2013,Slovenia,Females,0.07299999999999997
2013,Slovakia,Males,0.857
2013,Slovakia,Females,0.14300000000000002
2013,Finland,Males,0.703
2013,Finland,Females,0.297
2013,Sweden,Males,0.746
2013,Sweden,Females,0.254
2013,United Kingdom,Males,0.7859999999999999
2013,United Kingdom,Females,0.214
2013,Iceland,Males,0.768
2013,Iceland,Females,0.23200000000000004
2013,Switzerland,Males,0.857
2013,Switzerland,Females,0.14300000000000002
2013,Montenegro,Males,0.669
2013,Montenegro,Females,0.33099999999999996
2013,North Macedonia,Males,0.6940000000000001
2013,North Macedonia,Females,0.306
2013,Serbia,Males,0.7829999999999999
2013,Serbia,Females,0.21700000000000003
2013,Turkey,Males,0.737
2013,Turkey,Females,0.263
2014,All Europe,Males,0.8270000000000001
2014,All Europe,Females,0.17300000000000001
2014,Belgium,Males,0.875
2014,Belgium,Females,0.125
2014,Bulgaria,Males,0.747
2014,Bulgaria,Females,0.25299999999999995
2014,Czechia,Males,0.9059999999999999
2014,Czechia,Females,0.094
2014,Denmark,Males,0.8390000000000001
2014,Denmark,Females,0.161
2014,Germany,Males,0.867
2014,Germany,Females,0.133
2014,Estonia,Males,0.731
2014,Estonia,Females,0.26899999999999996
2014,Ireland,Males,0.695
2014,Ireland,Females,0.305
2014,Greece,Males,0.631
2014,Greece,Females,0.369
2014,Spain,Males,0.8140000000000001
2014,Spain,Females,0.18600000000000003
2014,France,Males,0.889
2014,France,Females,0.111
2014,Croatia,Males,0.774
2014,Croatia,Females,0.226
2014,Italy,Males,0.7859999999999999
2014,Italy,Females,0.214
2014,Cyprus,Males,0.75
2014,Cyprus,Females,0.25
2014,Latvia,Males,0.8029999999999999
2014,Latvia,Females,0.19699999999999998
2014,Lithuania,Males,0.879
2014,Lithuania,Females,0.121
2014,Luxembourg,Males,0.914
2014,Luxembourg,Females,0.08599999999999994
2014,Hungary,Males,0.868
2014,Hungary,Females,0.132
2014,Malta,Males,0.82
2014,Malta,Females,0.18
2014,Netherlands,Males,0.8540000000000001
2014,Netherlands,Females,0.146
2014,Austria,Males,0.907
